loc,hyp,auc_1,pre_1,rec_1,f_1,thr_1,auc_2,pre_2,rec_2,f_2,thr_2,auc_3,pre_3,rec_3,f_3,thr_3,auc_4,pre_4,rec_4,f_4,thr_4
0185-E,"(5, 3)",0.349996568997461,0.08426966292134831,0.1271186440677966,0.10135135135135136,1.562836133036559,0.41097688472231797,0.10674157303370786,0.10674157303370786,0.10674157303370786,1.562836133036559,0.3092169140152296,0.1702127659574468,0.07476635514018691,0.1038961038961039,1.8770089275090458,0.43073408294511245,0.11235955056179775,0.10582010582010581,0.108991825613079,1.562836133036559
0185-E,"(5, 4)",0.4617522090618537,0.25806451612903225,0.11851851851851852,0.16243654822335024,1.773364092953379,0.516698384177953,0.21782178217821782,0.10328638497652583,0.14012738853503184,1.6113688481492527,0.4320902400478269,0.25806451612903225,0.13114754098360656,0.17391304347826086,1.773364092953379,0.5298830349769674,0.1724137931034483,0.11061946902654868,0.13477088948787064,1.5455811874749876
0185-E,"(5, 5)",0.5527298388537536,0.24087591240875914,0.21710526315789475,0.22837370242214536,1.5498956334003617,0.5718501636278635,0.21739130434782608,0.20161290322580644,0.20920502092050208,1.45378119364911,0.5325476763310635,0.22627737226277372,0.22627737226277372,0.22627737226277372,1.5498956334003617,0.5816642035039394,0.22943722943722944,0.20152091254752852,0.2145748987854251,1.4533210352618893
0185-E,"(5, 7)",0.6535948792526002,0.3,0.24193548387096775,0.26785714285714285,1.4812207454739312,0.6419335197608584,0.2479108635097493,0.2807570977917981,0.26331360946745563,1.3588595559835128,0.6489193527837941,0.45454545454545453,0.20958083832335328,0.2868852459016393,1.6005072793280235,0.6454953199657923,0.25348189415041783,0.2716417910447761,0.2622478386167147,1.3588595559835128
0185-E,"(5, 10)",0.7225910466220544,0.24444444444444444,0.37606837606837606,0.2962962962962963,1.3046097981553961,0.6763315254581591,0.3021978021978022,0.26634382566585957,0.28314028314028317,1.3030804083757208,0.7342954689077286,0.26523297491039427,0.35406698564593303,0.30327868852459017,1.3353506436062197,0.6741038056856123,0.3076923076923077,0.2562929061784897,0.2796504369538077,1.3030804083757208
0185-E,"(7, 3)",0.35794791738145887,0.09701492537313433,0.11016949152542373,0.10317460317460318,1.5597736251826948,0.423775782572398,0.11515151515151516,0.10674157303370786,0.11078717201166181,1.4993925761461555,0.3169686202246201,0.1568627450980392,0.07476635514018691,0.10126582278481011,1.7840427798887373,0.4433852496854034,0.12121212121212122,0.10582010582010581,0.11299435028248588,1.4993925761461555
0185-E,"(7, 4)",0.4724315347496396,0.30434782608695654,0.1037037037037037,0.15469613259668508,1.8178430185089525,0.5298213032194079,0.2169811320754717,0.107981220657277,0.14420062695924765,1.5481398669126285,0.4395472774928523,0.30434782608695654,0.11475409836065574,0.16666666666666669,1.8178430185089525,0.544660305651155,0.15714285714285714,0.14601769911504425,0.15137614678899083,1.4241212808519041
0185-E,"(7, 5)",0.5586656304712903,0.3218390804597701,0.18421052631578946,0.23430962343096234,1.5746830967786394,0.5850990115541307,0.24102564102564103,0.18951612903225806,0.2121896162528217,1.4411855001762555,0.5370604466555207,0.3103448275862069,0.19708029197080293,0.24107142857142855,1.5746830967786394,0.5952842766029797,0.2564102564102564,0.19011406844106463,0.2183406113537118,1.4411855001762555
0185-E,"(7, 7)",0.6665656765967448,0.2832369942196532,0.26344086021505375,0.27298050139275765,1.4136239777421857,0.6543837560095327,0.2422062350119904,0.3186119873817035,0.27520435967302453,1.3041153286204252,0.6595683526563892,0.2832369942196532,0.2934131736526946,0.28823529411764703,1.4136239777421857,0.6588159604988898,0.2446043165467626,0.3044776119402985,0.2712765957446808,1.3041153286204252
0185-E,"(7, 10)",0.707925675625934,0.2415902140672783,0.33760683760683763,0.2816399286987522,1.280599086722408,0.6658552603830883,0.25328330206378985,0.3268765133171913,0.28541226215644816,1.2373297933279337,0.713548138238939,0.23547400611620795,0.3684210526315789,0.28731343283582084,1.280599086722408,0.6659010307694946,0.2570356472795497,0.3135011441647597,0.28247422680412376,1.2373297933279337
