loc,hyp,auc_1,pre_1,rec_1,f_1,thr_1,auc_2,pre_2,rec_2,f_2,thr_2,auc_3,pre_3,rec_3,f_3,thr_3,auc_4,pre_4,rec_4,f_4,thr_4
0185-E,"(20, 10, 3)",0.38933444269082096,0.019913419913419914,0.9745762711864406,0.03902935686407603,0.17035631835460663,0.33909874926280803,0.029440952695997353,1.0,0.05719794344473007,0.12893134355545044,0.3912628860706906,0.018501170960187354,0.7383177570093458,0.03609778387023075,0.5572752952575684,0.340670458990418,0.03126033741316573,1.0,0.060625501202886935,0.12893134355545044
0185-E,"(20, 10, 4)",0.3831465814376136,0.022774327122153208,0.8148148148148148,0.04431017119838872,0.34998059272766113,0.3306940982888644,0.03523573200992556,1.0,0.06807286673058485,0.08838643878698349,0.38394713024801896,0.021129893238434165,0.7786885245901639,0.0411433521004764,0.5212957262992859,0.3329507244349073,0.03738626964433416,1.0,0.07207781852974007,0.08838643878698349
0185-E,"(20, 10, 5)",0.38089001143388,0.025540609569215052,0.9868421052631579,0.04979253112033195,0.12681761384010315,0.3263662787461876,0.04111405835543767,1.0,0.07898089171974522,0.08196038752794266,0.3818863923663499,0.023604176123467997,0.7591240875912408,0.04578472375082545,0.6920762658119202,0.3285513774966242,0.04360079575596817,1.0,0.08355837966640191,0.08196038752794266
0185-E,"(20, 10, 7)",0.3884817152887949,0.031705539358600585,0.9354838709677419,0.06133239337328164,0.2314319610595703,0.32927224388026394,0.05259664841546375,1.0,0.09993694829760404,0.07095613330602646,0.38722283093387694,0.028932745736731175,0.9041916167664671,0.05607129595246936,0.3112739324569702,0.33384923987038695,0.055583208893313425,1.0,0.10531279471864194,0.07095613330602646
0185-E,"(20, 10, 10)",0.37531085050464896,0.03889354568315172,0.9914529914529915,0.07485078238425553,0.08236928284168243,0.3165130073190109,0.0684114626470101,1.0,0.12806201550387597,0.04558305814862251,0.37343348625735556,0.03478991596638655,0.9904306220095693,0.06721870433511934,0.08756723254919052,0.32085896913246903,0.07238694715918502,1.0,0.13500154464009886,0.04558305814862251
0185-W,"(20, 10, 3)",0.40413733203783647,0.060066740823136816,0.9090909090909091,0.11268781302170285,0.3079611659049988,0.43841899563132636,0.03225,0.9280575539568345,0.06233389707658855,0.4301685392856598,0.43841899563132636,0.03225,0.9280575539568345,0.06233389707658855,0.4301685392856598,0.40413733203783647,0.060066740823136816,0.9090909090909091,0.11268781302170285,0.3079611659049988
0185-W,"(20, 10, 4)",0.3954799344009261,0.07262931034482759,0.9232876712328767,0.13466533466533465,0.297031044960022,0.4268883672512971,0.037037037037037035,0.9695121951219512,0.0713484406551492,0.3563419282436371,0.4268883672512971,0.037037037037037035,0.9695121951219512,0.0713484406551492,0.3563419282436371,0.3954799344009261,0.07262931034482759,0.9232876712328767,0.13466533466533465,0.297031044960022
0185-W,"(20, 10, 5)",0.3839127794936775,0.08266554196541544,0.9074074074074074,0.1515268650947043,0.29617154598236084,0.413269082184539,0.04029716343989194,0.9470899470899471,0.07730511768516518,0.35876673460006714,0.413269082184539,0.04029716343989194,0.9470899470899471,0.07730511768516518,0.35876673460006714,0.3839127794936775,0.08266554196541544,0.9074074074074074,0.1515268650947043,0.29617154598236084
0185-W,"(20, 10, 7)",0.35927397533396,0.1033326760007888,0.9290780141843972,0.18598047914818103,0.25268417596817017,0.3892482390799161,0.04894351013367831,0.9497907949790795,0.09309001435308592,0.33996281027793884,0.3892482390799161,0.04894351013367831,0.9497907949790795,0.09309001435308592,0.33996281027793884,0.35927397533396,0.1033326760007888,0.9290780141843972,0.18598047914818103,0.25268417596817017
0185-W,"(20, 10, 10)",0.3535521526772244,0.1293168168168168,0.9223560910307899,0.22683127572016462,0.26194044947624207,0.37591607049380565,0.05823803473104617,0.8928571428571429,0.10934393638170974,0.35121944546699524,0.37591607049380565,0.05823803473104617,0.8928571428571429,0.10934393638170974,0.35121944546699524,0.3535521526772244,0.1293168168168168,0.9223560910307899,0.22683127572016462,0.26194044947624207
0948-E,"(20, 10, 3)",0.4226045848453506,0.023982798544492225,1.0,0.046842190276207396,0.002637377241626382,0.3952532541029995,0.025802183261660602,1.0,0.05030635278942277,0.002637377241626382,0.41162490523004813,0.02255005268703899,0.7925925925925926,0.043852459016393446,0.34426823258399963,0.40580024178346036,0.027456169368177307,1.0,0.05344494526722472,0.002637377241626382
0948-E,"(20, 10, 4)",0.412720382984037,0.02795698924731183,1.0,0.05439330543933054,0.006778538227081299,0.3832138038636347,0.029942100909842846,1.0,0.058143270157404434,0.006778538227081299,0.402153359526447,0.02637996009753935,0.7579617834394905,0.05098543273350471,0.40414077043533325,0.3935960072106786,0.03192721257237386,1.0,0.061878807310035255,0.006778538227081299
0948-E,"(20, 10, 5)",0.3970508658008658,0.03176704169424222,1.0,0.061577934573444515,0.0010288918856531382,0.36534198438752463,0.034083388484447384,1.0,0.06591999999999999,0.0010288918856531382,0.38777788206269603,0.02945069490403706,1.0,0.057216329154612666,0.0010288918856531382,0.37478224900099905,0.036399735274652546,1.0,0.07024265644955299,0.0010288918856531382
0948-E,"(20, 10, 7)",0.3834429467004239,0.03889440582588547,1.0,0.07487653337581647,0.0032907547429203987,0.3538421000852401,0.04154253558424363,1.0,0.07977117432067378,0.0032907547429203987,0.37433397282490455,0.03591525984773254,1.0,0.06934015018373542,0.0032907547429203987,0.3630591582272816,0.04452168156239656,1.0,0.08524797971795278,0.0032907547429203987
0948-E,"(20, 10, 10)",0.37311420618674807,0.04934591819837721,1.0,0.0940508126873915,0.00020475548808462918,0.3454912759420097,0.05216095380029806,1.0,0.09915014164305949,0.00020475548808462918,0.36643823475414816,0.045371750289783075,1.0,0.08680500554411531,0.00020475548808462918,0.3526670289292553,0.0561351217088922,1.0,0.10630291627469426,0.00020475548808462918
0948-W,"(20, 10, 3)",0.34338004793438465,0.05590473040026464,1.0,0.10588972431077695,0.0968317836523056,0.4434335609322547,0.02775766352884383,0.8156028368794326,0.053688141923436045,0.3691664934158325,0.4434335609322547,0.02775766352884383,0.8156028368794326,0.053688141923436045,0.3691664934158325,0.34338004793438465,0.05590473040026464,1.0,0.10588972431077695,0.0968317836523056
0948-W,"(20, 10, 4)",0.3246956613756614,0.06947890818858561,1.0,0.12993039443155452,0.08595621585845947,0.4210785991388586,0.03140041256016502,0.8253012048192772,0.060499006403179505,0.3613925874233246,0.4210785991388586,0.03140041256016502,0.8253012048192772,0.060499006403179505,0.3613925874233246,0.3246956613756614,0.06947890818858561,1.0,0.12993039443155452,0.08595621585845947
0948-W,"(20, 10, 5)",0.30905372031769657,0.08206485771012574,1.0,0.15168195718654434,0.049522679299116135,0.3964978153705736,0.03324468085106383,0.7936507936507936,0.06381620931716657,0.368274450302124,0.3964978153705736,0.03324468085106383,0.7936507936507936,0.06381620931716657,0.368274450302124,0.30905372031769657,0.08206485771012574,1.0,0.15168195718654434,0.049522679299116135
0948-W,"(20, 10, 7)",0.29198697645804494,0.105759682224429,1.0,0.1912887292321509,0.04595702886581421,0.35543800819039706,0.03839788149619331,1.0,0.07395600892572521,0.04595702886581421,0.35543800819039706,0.03839788149619331,1.0,0.07395600892572521,0.04595702886581421,0.29198697645804494,0.105759682224429,1.0,0.1912887292321509,0.04595702886581421
0948-W,"(20, 10, 10)",0.27631588569506343,0.13942705745984435,1.0,0.2447318703676791,0.005061876028776169,0.32686576412822815,0.04884914720980295,1.0,0.09314808967477108,0.005061876028776169,0.32686576412822815,0.04884914720980295,1.0,0.09314808967477108,0.005061876028776169,0.27631588569506343,0.13942705745984435,1.0,0.2447318703676791,0.005061876028776169
