loc,hyp,auc_1,pre_1,rec_1,f_1,thr_1,auc_2,pre_2,rec_2,f_2,thr_2,auc_3,pre_3,rec_3,f_3,thr_3,auc_4,pre_4,rec_4,f_4,thr_4
0185-E,"(True, 'old', 3)",0.5482127335940895,0.041044776119402986,0.2796610169491525,0.07158351409978307,-0.07009210331306659,0.5547905991743449,0.049358341559723594,0.2808988764044944,0.0839630562552477,-0.08998437552020544,0.5410174783192991,0.03855721393034826,0.2897196261682243,0.06805708013172337,-0.07009210331306659,0.5586179608716744,0.05133267522211254,0.2751322751322751,0.08652246256239601,-0.08998437552020544
0185-E,"(True, 'old', 4)",0.5321087923795199,0.04519230769230769,0.34814814814814815,0.08,-0.09723338371572288,0.5291833304352865,0.06442307692307692,0.3145539906103286,0.10694333599361532,-0.09723338371572288,0.5331287036088823,0.04408602150537634,0.3360655737704918,0.0779467680608365,-0.09105845819050107,0.5288428051530918,0.06634615384615385,0.3053097345132743,0.10900473933649289,-0.09723338371572288
0185-E,"(True, 'old', 5)",0.580858970236181,0.05061867266591676,0.29605263157894735,0.08645533141210375,-0.06417872605931507,0.5979081791669448,0.06951871657754011,0.5241935483870968,0.1227573182247403,-0.1137289912739266,0.5904006010436709,0.049493813273340834,0.32116788321167883,0.08576998050682261,-0.06417872605931507,0.5920759167141869,0.07058823529411765,0.5019011406844106,0.12376933895921238,-0.1137289912739266
0185-E,"(True, 'old', 7)",0.5706278644456196,0.06759656652360516,0.3387096774193548,0.11270125223613595,-0.08056092808916326,0.567667405948232,0.08648954211418881,0.48264984227129337,0.14669223394055608,-0.11881389186344227,0.5887802267804816,0.06652360515021459,0.3712574850299401,0.11282984531392175,-0.08056092808916326,0.5597451676260367,0.08818541548897682,0.46567164179104475,0.14828897338403044,-0.11881389186344227
0185-E,"(True, 'old', 10)",0.6137687080839536,0.07662082514734773,0.3333333333333333,0.12460063897763578,-0.07060474575915587,0.6079642338537179,0.10761154855643044,0.4963680387409201,0.17687661777394303,-0.10850177644210429,0.6392418360731081,0.0756385068762279,0.3684210526315789,0.12550937245313773,-0.07060474575915587,0.5972683015301008,0.10747663551401869,0.5263157894736842,0.17850213426464884,-0.11294261806846145
0185-E,"(True, 'new', 3)",0.501054318488529,0.0392156862745098,0.288135593220339,0.06903553299492386,-0.08950019525824704,0.5111167597251901,0.05190311418685121,0.25280898876404495,0.08612440191387559,-0.08950019525824704,0.49974821904313793,0.03690888119953864,0.29906542056074764,0.06570841889117042,-0.08950019525824704,0.5113001852800385,0.05420991926182238,0.24867724867724866,0.0890151515151515,-0.08950019525824704
0185-E,"(True, 'new', 4)",0.5608435169518079,0.05027322404371585,0.34074074074074073,0.08761904761904761,-0.08958304894572078,0.5688744952568635,0.06694214876033058,0.38028169014084506,0.11384399156711172,-0.10730988829624288,0.5559073686075122,0.048087431693989074,0.36065573770491804,0.08486017357762778,-0.08958304894572078,0.5712511805239777,0.06859504132231405,0.3672566371681416,0.11559888579387187,-0.10730988829624288
0185-E,"(True, 'new', 5)",0.5461285596884269,0.05084745762711865,0.29605263157894735,0.08678881388621024,-0.07584955749563771,0.5453378581446603,0.06995884773662552,0.34274193548387094,0.11619958988380041,-0.10067132923539845,0.5597355111280814,0.04971751412429379,0.32116788321167883,0.08610567514677105,-0.07584955749563771,0.5382395325449897,0.07160493827160494,0.33079847908745247,0.11772665764546685,-0.10067132923539845
0185-E,"(True, 'new', 7)",0.5686732475468593,0.061837455830388695,0.3763440860215054,0.10622154779969652,-0.09100008220682776,0.5605741600429793,0.08421052631578947,0.3785488958990536,0.13777267508610794,-0.10378767019569957,0.5837533443750796,0.060954063604240286,0.41317365269461076,0.10623556581986143,-0.09100008220682776,0.5548357738205765,0.0856140350877193,0.3641791044776119,0.1386363636363636,-0.10378767019569957
0185-E,"(True, 'new', 10)",0.6387582175695871,0.08527131782945736,0.37606837606837606,0.13902053712480253,-0.0736703126036502,0.6321058661403428,0.1120144534778681,0.6004842615012107,0.18880852683669586,-0.11413997348280175,0.6656717030374157,0.08430232558139535,0.41626794258373206,0.14020950846091862,-0.0736703126036502,0.6208206941456835,0.11427280939476062,0.5789473684210527,0.19087136929460582,-0.11413997348280175
