loc,hyp,auc_1,pre_1,rec_1,f_1,thr_1,auc_2,pre_2,rec_2,f_2,thr_2,auc_3,pre_3,rec_3,f_3,thr_3,auc_4,pre_4,rec_4,f_4,thr_4
0185-E,"(20, 3)",0.3990148733960063,0.021832279126708834,0.9067796610169492,0.042637975692369,0.4429488480091095,0.35703692853258584,0.030785752640057274,0.9662921348314607,0.059670424978317434,0.14746589958667755,0.3934785584910767,0.019587839216486432,0.897196261682243,0.03833865814696486,0.4429488480091095,0.36244154103126275,0.03275460891354931,0.9682539682539683,0.06336565096952909,0.14746589958667755
0185-E,"(20, 4)",0.39380522654634326,0.0244241461477363,0.9111111111111111,0.04757300328756527,0.41911160945892334,0.3437361135261501,0.03598580841358338,1.0,0.06947162426614482,0.09684542566537857,0.38476707915516895,0.0219079864568811,0.9016393442622951,0.04277658953917947,0.43261799216270447,0.35128591568359374,0.03821656050955414,0.9823008849557522,0.07357083678541838,0.11163999885320663
0185-E,"(20, 5)",0.40460135509343625,0.026948429623885228,0.9144736842105263,0.052354048964218455,0.34862709045410156,0.34769216534206016,0.041851725316023235,0.9879032258064516,0.08030154047853164,0.09593558311462402,0.3963471521478291,0.024198427102238355,0.8759124087591241,0.04709576138147566,0.5785808563232422,0.35498318537913964,0.044414075845575676,0.9885931558935361,0.08500899133562202,0.09593558311462402
0185-E,"(20, 7)",0.38801211146365827,0.032610744580584355,0.9301075268817204,0.06301220178473867,0.3194761276245117,0.3324152466491259,0.05283790693710585,0.9779179810725552,0.10025873221216042,0.09643829613924026,0.37987922028283855,0.029112662013958127,0.874251497005988,0.05634890003859514,0.6246863603591919,0.33977519098044034,0.055905914436679735,0.9791044776119403,0.10577233150596582,0.09643829613924026
0185-E,"(20, 10)",0.3804622451909273,0.03908355795148248,0.9914529914529915,0.0752025931928687,0.06892504543066025,0.32839208999379393,0.06861604917760425,1.0,0.12842039800995025,0.041094355285167694,0.3784664374174169,0.03499546690843155,0.9234449760765551,0.06743535988819006,0.36520910263061523,0.3321039314988027,0.07260342249543114,1.0,0.13537794299876085,0.041094355285167694
0185-W,"(20, 3)",0.35556117796507436,0.050461204557786216,0.9393939393939394,0.09577754891864057,0.18809446692466736,0.3892674585572781,0.025511237092528852,0.9064748201438849,0.049625836943678614,0.30368566513061523,0.3892674585572781,0.025511237092528852,0.9064748201438849,0.049625836943678614,0.30368566513061523,0.35556117796507436,0.050461204557786216,0.9393939393939394,0.09577754891864057,0.18809446692466736
0185-W,"(20, 4)",0.362298138143932,0.06434578525327596,0.9013698630136986,0.12011683096020445,0.33341458439826965,0.3911246842871421,0.03135245901639344,0.9329268292682927,0.06066613798572561,0.39724963903427124,0.3911246842871421,0.03135245901639344,0.9329268292682927,0.06066613798572561,0.39724963903427124,0.362298138143932,0.06434578525327596,0.9013698630136986,0.12011683096020445,0.33341458439826965
0185-W,"(20, 5)",0.3512894409466487,0.07451701931922723,0.9375,0.13806033748082494,0.21439652144908905,0.36892404176776505,0.03457200961360695,0.9894179894179894,0.06680957484816005,0.21889308094978333,0.36892404176776505,0.03457200961360695,0.9894179894179894,0.06680957484816005,0.21889308094978333,0.3512894409466487,0.07451701931922723,0.9375,0.13806033748082494,0.21439652144908905
0185-W,"(20, 7)",0.34163313473105833,0.09725824379399778,0.9308510638297872,0.17611539751761154,0.21858826279640198,0.36680890060472254,0.044668008048289735,0.9288702928870293,0.08523708965252447,0.33190450072288513,0.36680890060472254,0.044668008048289735,0.9288702928870293,0.08523708965252447,0.33190450072288513,0.34163313473105833,0.09725824379399778,0.9308510638297872,0.17611539751761154,0.21858826279640198
0185-W,"(20, 10)",0.3318949772382551,0.12684365781710916,0.9210174029451138,0.22297844757737806,0.2384411096572876,0.35288287441053107,0.05462433445079866,0.8993506493506493,0.10299312139802937,0.34349358081817627,0.35288287441053107,0.05462433445079866,0.8993506493506493,0.10299312139802937,0.34349358081817627,0.3318949772382551,0.12684365781710916,0.9210174029451138,0.22297844757737806,0.2384411096572876
