loc,hyp,auc_1,pre_1,rec_1,f_1,thr_1,auc_2,pre_2,rec_2,f_2,thr_2,auc_3,pre_3,rec_3,f_3,thr_3,auc_4,pre_4,rec_4,f_4,thr_4
0185-E,"(32, 20, 3, 0.1, 2)",0.3812557887004567,0.02696078431372549,0.13095238095238096,0.04471544715447155,0.4485225968731745,0.4653946876169099,0.06944444444444445,0.09259259259259259,0.07936507936507937,0.6089198450755742,0.36108507135135837,0.035211267605633804,0.06493506493506493,0.045662100456621,0.6097878227032831,0.47388299782352206,0.06944444444444445,0.08695652173913043,0.07722007722007722,0.6089198450755742
0185-E,"(32, 20, 3, 0.1, 3)",0.32848080546772696,0.04716981132075472,0.05952380952380952,0.05263157894736842,0.6489305648400414,0.4111126699089662,0.08490566037735849,0.08333333333333333,0.08411214953271028,0.6489305648400414,0.3095415721441513,0.04716981132075472,0.06493506493506493,0.054644808743169404,0.6489305648400414,0.41882763320850946,0.08490566037735849,0.0782608695652174,0.08144796380090498,0.6489305648400414
0185-E,"(32, 20, 3, 0.1, 4)",0.3931705311232474,0.0392156862745098,0.047619047619047616,0.04301075268817204,0.7100163707532099,0.47845585484474373,0.0761904761904762,0.07407407407407407,0.07511737089201878,0.702170634748244,0.38122788281890607,0.0392156862745098,0.05194805194805195,0.0446927374301676,0.7100163707532099,0.48133871712382476,0.06818181818181818,0.0782608695652174,0.07287449392712551,0.6591784219455388
0185-E,"(32, 20, 5, 0.1, 2)",0.37008559292261506,0.06306306306306306,0.08333333333333333,0.07179487179487179,0.5985724935330561,0.4259882778401297,0.09009009009009009,0.09259259259259259,0.091324200913242,0.5985724935330561,0.3449051367323014,0.05405405405405406,0.07792207792207792,0.06382978723404255,0.5985724935330561,0.43953275342776954,0.0990990990990991,0.09565217391304348,0.09734513274336283,0.5985724935330561
0185-E,"(32, 20, 5, 0.1, 3)",0.35397104851330197,0.06060606060606061,0.09523809523809523,0.07407407407407407,0.5755932622326716,0.42114041651078693,0.11842105263157894,0.08333333333333333,0.09782608695652174,0.6679888825130131,0.3318093730085021,0.07936507936507936,0.06493506493506493,0.07142857142857142,0.7042121896542719,0.4319671110003737,0.09090909090909091,0.10434782608695652,0.09716599190283401,0.5755932622326716
0185-E,"(32, 20, 5, 0.1, 4)",0.3788983903420523,0.08695652173913043,0.07142857142857142,0.0784313725490196,0.7305480993458005,0.4219837261503928,0.13333333333333333,0.07407407407407407,0.09523809523809523,0.7437907972637992,0.34939001711736595,0.0847457627118644,0.06493506493506493,0.07352941176470587,0.7453067312039545,0.4392161748217413,0.13043478260869565,0.0782608695652174,0.09782608695652173,0.7305480993458005
0185-E,"(32, 20, 7, 0.1, 2)",0.5150725783271055,0.10975609756097561,0.10714285714285714,0.10843373493975902,0.6102347336524452,0.5654196283825913,0.14634146341463414,0.1111111111111111,0.12631578947368421,0.6102347336524452,0.5003838901008555,0.0975609756097561,0.1038961038961039,0.10062893081761007,0.6102347336524452,0.5723184253145633,0.15853658536585366,0.11304347826086956,0.1319796954314721,0.6102347336524452
0185-E,"(32, 20, 7, 0.1, 3)",0.5912179425760915,0.07857142857142857,0.13095238095238096,0.09821428571428571,0.5436719358429105,0.6180337323855842,0.10714285714285714,0.1388888888888889,0.12096774193548386,0.5436719358429105,0.5764876557038674,0.07142857142857142,0.12987012987012986,0.09216589861751151,0.5436719358429105,0.626415260261324,0.11428571428571428,0.1391304347826087,0.12549019607843137,0.5436719358429105
0185-E,"(32, 20, 7, 0.1, 4)",0.5668016032704162,0.08955223880597014,0.07142857142857142,0.07947019867549668,0.6963755277138031,0.6024722533981794,0.1,0.09259259259259259,0.09615384615384615,0.6187878809684242,0.5535978006250992,0.07462686567164178,0.06493506493506493,0.06944444444444443,0.6963755277138031,0.6092804432100485,0.11,0.09565217391304348,0.10232558139534885,0.6187878809684242
0185-E,"(32, 20, 10, 0.1, 2)",0.6501109833604803,0.11538461538461539,0.07142857142857142,0.08823529411764706,0.7071692503162594,0.6648631375483227,0.07242339832869081,0.24074074074074073,0.11134903640256959,0.43156707895342217,0.6407636911740077,0.054474708171206226,0.18181818181818182,0.08383233532934131,0.47536718470987926,0.6703757172484043,0.07520891364902507,0.23478260869565218,0.11392405063291139,0.43156707895342217
